Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~基于51单片机超声波测距系统.PrjPcb|ReportField=ProjectFullPath~G:\UPAN\标准产品\V新建文件夹\基于51单片机超声波测距系统LCD1602\基于51单片机超声波测距系统LCD1602 客户资料\01 Altium Designer 6.9-图纸工程\基于51单片机超声波测距系统.PrjPcb|ReportField=Title~Bill of Materials For Project [基于51单片机超声波测距系统.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~22|ReportField=ReportTime~下午 02:47:12|ReportField=ReportDate~2014-7-17|ReportField=ReportDateTime~2014-7-17 下午 02:47:12|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2014-7-17|ReportField=CurrentTime~下午 02:47:05|ReportField=Date~|ReportField=DocumentFullPathAndName~G:\UPAN\标准产品\V新建文件夹\基于51单片机超声波测距系统LCD1602\基于51单片机超声波测距系统LCD1602 客户资料\01 Altium Designer 6.9-图纸工程\基于51单片机超声波测距系统.SchDoc|ReportField=DocumentName~基于51单片机超声波测距系统.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2014-1-29|ReportField=Organization~|ReportField=ProjectName~基于51单片机超声波测距系统.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~基于51单片机超声波测距系统.PrjPcb|ReportField=DataSourceFullPath~G:\UPAN\标准产品\V新建文件夹\基于51单片机超声波测距系统LCD1602\基于51单片机超声波测距系统LCD1602 客户资料\01 Altium Designer 6.9-图纸工程\基于51单片机超声波测距系统.PrjPcb
47uF|Polarized Capacitor (Radial)|C1|CAP-100|Cap Pol1|1
104|Capacitor|C2|CAP|Cap|1
22pF|Capacitor|C3, C4|CAP|Cap|2
LED|Typical INFRARED GaAs LED|D1, D2|LED|LED0|2
PWR2.5|Low Voltage Power Supply Connector|J1|POWER|PWR2.5|1
电源开关||L1|SWITCH|Liujiao|1
Speaker|Loudspeaker|LS1|SPEAK|Speaker|1
1602||P1|lcd1602|1602|1
Header 4|Header, 4-Pin|P2|HDR1X4|Header 4|1
程序下载接口|Header, 3-Pin|P3|HDR1X3|Header 3|1
8550|PNP General Purpose Amplifier|Q1|TO-92A|2N3906|1
3K|Resistor|R1|RES|Res2|1
10K|Resistor|R2|RES|Res2|1
1K|Resistor|R3|RES|Res2|1
100|Resistor|R4|RES|Res2|1
|Switch|S1, S2, S3|KEY|SW-PB|3
STC89C51||U1|DIP40|STC89C52|1
11.0592MHz|Crystal Oscillator|Y1|XTAL200|XTAL|1
